unique_registration_roll_number,student_id,certificate_serial_number,institute_type,institute_name,institute_website,accreditation_statement,credential_category,credential_title,issuance_date,convocation_date,year,marks_percent,marks_removed_flag,num_subjects,signed_hash_present,ocr_vs_meta_name_match,ocr_vs_meta_institute_match,ela_score,image_complexity_kb,label,tamper_type,image_file,meta_file,logo_file
ROLL7989721,STU874004,4FFF61B742974915,GFTI,MNNIT  Allahabad,https://www.mnnit.ac.in/,Accredited by AICTE,Degree,B.Tech Computer Science,29-05-2022,28-06-2022,2019,79.22,0,8,1,83,82,9.79,549.66,genuine,,images/ROLL7989721.jpg,metadata/ROLL7989721.json,logos/MNNIT_Allahabad_logo.png
ROLL2531660,STU204332,4632CEB4D22C4E0B,NIT,MNNIT  Allahabad,https://www.mnnit.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,05-01-2023,04-02-2023,2015,,1,,0,50,78,24.96457241,371.61,tampered,metadata_mismatch,images/ROLL2531660.jpg,metadata/ROLL2531660.json,logos/NIT_Allahabad_logo.png
ROLL7954700,STU940852,214DA089130945CE,IIT,IIT Guwahati,https://www.iitg.ac.in/,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,13-03-2021,12-04-2021,2015,72.19,0,2,0,91,97,7.94,132.2,genuine,,images/ROLL7954700.jpg,metadata/ROLL7954700.json,logos/IIT_Guwahati_logo.png
ROLL4117682,STU458578,7D21BB36519141C9,IIT,IIT Dhanbad,https://www.iitism.ac.in/,Recognized by Ministry of Education,ShortCourse,Summer School: Embedded Systems,20-02-2015,19-08-2015,2023,,1,,0,80,83,19.7,765.76,genuine,,images/ROLL4117682.jpg,metadata/ROLL4117682.json,logos/IIT_Dhanbad_logo.png
ROLL3633701,STU637419,40642EC233AF401F,NIT,NIT Rourkela,https://www.nitrkl.ac.in/,Recognized by Ministry of Education,Certificate,Workshop: Data Science Bootcamp,01-04-2018,01-05-2018,2010,,1,,0,81,98,18.57,731.06,genuine,,images/ROLL3633701.jpg,metadata/ROLL3633701.json,logos/NIT_Rourkela_logo.png
ROLL3038513,STU683598,F147B51C0B204789,NIT,NIT Raipur,https://www.nitrr.ac.in/,Institutes of National Importance (Act of Parliament),ShortCourse,Summer School: Embedded Systems,13-11-2024,13-11-2024,2011,,1,,1,94,98,18.61,539.85,genuine,,images/ROLL3038513.jpg,metadata/ROLL3038513.json,logos/NIT_Raipur_logo.png
ROLL3510869,STU937249,90217F7F6DBC4CA6,IIT,IIT Roorkee,https://www.iitr.ac.in/,Recognized by Ministry of Education,Diploma,Diploma in Civil Engineering,15-02-2021,17-03-2021,2015,77.06,0,7,1,85,90,11.35,102.67,genuine,,images/ROLL3510869.jpg,metadata/ROLL3510869.json,logos/IIT_Roorkee_logo.png
ROLL2608486,STU286491,65BFD14D1FA64A27,IIT,IIT Dhanbad,https://www.iitism.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,PG Diploma in AI & ML,31-05-2017,30-06-2017,2022,64.35,0,6,0,98,87,6.38,802.78,genuine,,images/ROLL2608486.jpg,metadata/ROLL2608486.json,logos/IIT_Dhanbad_logo.png
ROLL3986073,STU446332,CA5294DC410E4417,IIIT,IIIT Bangalore,https://www.iiitbangalore.edu.in,Institutes of National Importance (Act of Parliament),Diploma,PG Diploma in AI & ML,11-01-2013,11-01-2015,2017,81.63,0,9,1,81,88,5.51,597.05,genuine,,images/ROLL3986073.jpg,metadata/ROLL3986073.json,logos/IIIT_Bangalore_logo.png
ROLL5904068,STU765643,43F198F3FC424A81,IIT,IIT Hyderabad,https://www.iith.ac.in/,Recognized by Ministry of Education,Diploma,PG Diploma in AI & ML,03-07-2013,30-12-2013,2011,67.03,0,8,0,80,95,11.65,186.05,genuine,,images/ROLL5904068.jpg,metadata/ROLL5904068.json,logos/IIT_Hyderabad_logo.png
